OTU_ID,OB05_CA122A2,OB08_CA10,OB11_CA58A1,OB13_CA50B,OB18_CA51A3A,OB21_CA51A3,OB23_T046B4,OB25_T037A2,OB26_T037,OB29_T068C1,OB31_T023D3,OB32_T073A2,OB33_T073A1,OB35_T101B,OB37_T100F,FP_T101A_M_BC_OA,OB40_T060D,OB41_T060E
Zotu3438,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0
Zotu3439,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3440,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Zotu3442,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0
Zotu3444,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Zotu3447,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4
Zotu3453,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3457,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Zotu346,0,0,0,0,0,0,90,39,8,66,59,37,64,44,59,43,59,80
Zotu3469,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
